"Marca temporal","¿Cuál es tu edad?
","¿Cuál es tu género?
","¿En qué parte de México vives actualmente?","¿Cuál es tu nivel educativo más alto alcanzado?","¿Actualmente trabajas en el sector formal o informal?","Si trabajas en el sector informal, ¿a qué te dedicas?","¿Por qué decidiste trabajar en el sector informal? (","¿Crees que el gobierno debería regular más el sector informal?","¿Has intentado conseguir un empleo formal sin éxito?
","¿Qué ventajas ves en el trabajo informal frente al formal?","Qué iniciativa propondrías para mejorar la formalidad en México?"
"2025/07/30 10:23:51 p.m. GMT-6","46-55 años","Femenino","CDMX","Preparatoria","Sector formal (empleo con contrato, prestaciones, seguro social)","","","Sí, para garantizar derechos laborales","Sí, pero no encontré","No pagar impuestos","La regulación de este tipo de actividad laboral."
"2025/07/30 10:27:04 p.m. GMT-6","18-25 años","Femenino","Estado de México","Preparatoria","Desempleado","","Falta de oportunidades en empleos formales","Sí, para garantizar derechos laborales","Sí, pero no encontré","No pagar impuestos","Dar un trato justo a los empleados y tener lo que los empleados merecen "
"2025/07/31 7:58:25 p.m. GMT-6","26-35 años","Masculino","Estado de México","Universidad","Sector formal (empleo con contrato, prestaciones, seguro social)","","","No, porque afectaría a quienes dependen de él","No me interesa un empleo formal","Libertad de horario","Buscar la forma en que todos salgan beneficiados MC ahora mismo no se me ocurre algo "
"2025/07/31 8:04:55 p.m. GMT-6","Más de 55 años","Femenino","CDMX","Posgrado","Sector formal (empleo con contrato, prestaciones, seguro social)","","","Sí, para garantizar derechos laborales","No, prefiero la informalidad","Libertad de horario;No pagar impuestos;Mayor ingreso inmediato;No necesitas estudios formales","Mayores oportunidades de trabajo para estudiantes, gente sin experiencia y gente de la tercera edad."
"2025/07/31 8:26:51 p.m. GMT-6","26-35 años","Masculino","CDMX","Universidad","Sector formal (empleo con contrato, prestaciones, seguro social)","","","Sí, para garantizar derechos laborales","Logré conseguir en el sector formal","No necesitas estudios formales","Mecanismos fiscales para actividades comerciales que se consideran informales"
"2025/07/31 8:33:11 p.m. GMT-6","46-55 años","Masculino","CDMX","Universidad","Sector formal (empleo con contrato, prestaciones, seguro social)","","","Sí, para garantizar derechos laborales","No lo he intentado","Libertad de horario;No pagar impuestos;Mayor ingreso inmediato;No necesitas estudios formales","Tener mejores sueldos en los trabajos, mayor apoyo a las empresas micro, pequeña y mediana en cuestión de créditos y menos impuestos para poder tener mayor crecimiento."
"2025/07/31 8:37:04 p.m. GMT-6","46-55 años","Masculino","CDMX","Universidad","Sector informal (trabajo independiente, sin contrato, sin seguro)","Consultoría Estrategica de Negocios","Gano más dinero que en un empleo formal","Sí, para garantizar derechos laborales","Sí, pero no encontré","No necesitas estudios formales","Un mecanismos adecuado de recaudación de impuestos que tenga beneficio para quienes si cumplimos "
"2025/07/31 8:38:23 p.m. GMT-6","36-45 años","Femenino","CDMX","Universidad","Sector informal (trabajo independiente, sin contrato, sin seguro)","Arquitectura e interiorismo ","Mayor flexibilidad de horarios;Gano más dinero que en un empleo formal","No, porque afectaría a quienes dependen de él","Logré conseguir en el sector formal","Libertad de horario;Mayor ingreso inmediato","Incremento en el salario y prestaciones de ley, en mi rubro es extremadamente difícil encontrar un trabajo que te de prestaciones de ley y pague bien"
"2025/07/31 11:37:24 p.m. GMT-6","18-25 años","Femenino","CDMX","Preparatoria","Sector informal (trabajo independiente, sin contrato, sin seguro)","Reventa de Productos de Bellaza","Falta de oportunidades en empleos formales;Mayor flexibilidad de horarios;No pago Impuestos","No, porque afectaría a quienes dependen de él","Sí, pero no encontré","Libertad de horario;No pagar impuestos;Mayor ingreso inmediato;No necesitas estudios formales","Cambiar las reformas, y fomentar la utilidad de trabajos ya que muchas veces se requiere llevar un registro ineficiente gracias a la burocracia impidiendo el desarrollo económico y la eficiencia."
"2025/08/01 1:17:04 a.m. GMT-6","46-55 años","Femenino","CDMX","Posgrado","Sector formal (empleo con contrato, prestaciones, seguro social)","","","No, porque afectaría a quienes dependen de él","Logré conseguir en el sector formal","Libertad de horario;No pagar impuestos;Mayor ingreso inmediato;No necesitas estudios formales","Propondría una campaña educativa y cultural a nivel nacional que fomente el uso de un lenguaje respetuoso, puntualidad y trato cordial desde la infancia, integrando estos valores en escuelas, medios de comunicación y entornos laborales, para fortalecer una cultura de respeto y profesionalismo.

Saludos cordiales."
"2025/08/01 11:06:59 a.m. GMT-6","26-35 años","Femenino","Estado de México","Posgrado","Sector informal (trabajo independiente, sin contrato, sin seguro)","Marketing y Publicidad ","Gano más dinero que en un empleo formal","Sí, para garantizar derechos laborales","No me interesa un empleo formal","Libertad de horario;Mayor ingreso inmediato","Mejor regulación de impuestos a las PYMES "
